"","lea_street","City","lea_state","lea_zip"
"372","8176 Westover Street","Joseph City","AZ","86032"
"373","3777 West 16th Street","Yuma","AZ","85364"
"374","P.O. Box 1420","Kaibeto","AZ","86053"
"375","7878 North 16th Street","Phoenix","AZ","85020"
"376","850 North Morley Avenue","Nogales","AZ","85621"
"377","7878 North 16th Street","Phoenix","AZ","85020"
"378","7878 North 16th Street","Phoenix","AZ","85020"
"379","7878 North 16th Street","Phoenix","AZ","85020"
"380","3155 Maricopa Avenue","Lake Havasu City","AZ","86406"
"381","7878 North 16th Street","Phoenix","AZ","85020"
"382","7878 North 16th Street","Phoenix","AZ","85020"
"383","1376 East Cottonwood Lane","Casa Grande","AZ","85122"
"384","7820 East Wrightstown Road","Tucson","AZ","85715"
"385","7878 North 16th Street","Phoenix","AZ","85020"
"386","217 East Olympic Drive","Phoenix","AZ","85042"
"387","7878 North 16th Street","Phoenix","AZ","85020"
"388","7878 North 16th Street","Phoenix","AZ","85020"
"389","7878 North 16th Street","Phoenix","AZ","85020"
"390","7878 North 16th Street","Phoenix","AZ","85020"
"391","P.O. Box 188","Kayenta","AZ","86033"
"392","Kayenta, AZ Kayenta is a city in Navajo county, Arizona","Kayenta","AZ",NA
"393","P.O. Box 397","Keams Canyon","AZ","86034"
"394","325 North Washington Avenue","Prescott","AZ","86301"
"395","1025 East Liberty Lane","Phoenix","AZ","85048"
"396","3701 East River Road","Tucson","AZ","85718"
"397","2536 North 3rd Street","Phoenix","AZ","85004"
"398","P.O. Box 800","Ganado","AZ","86505"
"399","3410 North Burbank Street","Kingman","AZ","86409"
"400","3033 McDonald Avenue","Kingman","AZ","86401"
"401","150 Main Street","Kirkland","AZ","86332"
"402","8700 South Kyrene Road","Tempe","AZ","85284"
"403","124 North Virginia Street","Prescott","AZ","86301"
"404","2200 Havasupai Boulevard","Lake Havasu City","AZ","86403"
"405","5001 W DOBBINS RD","LAVEEN","AZ","85339"
"406","633 East Ray Road","Gilbert","AZ","85296"
"407","633 East Ray Road","Gilbert","AZ","85296"
"408","4815 West Hunt Highway","Queen Creek","AZ","85142"
"409","7420 East Main Street","Mesa","AZ","85207"
"410","7420 East Main Street","Mesa","AZ","85207"
"411","Maricopa, AZ Maricopa is a city in Pinal county, Arizona","Maricopa","AZ",NA
"412","Casa Grande, AZ Casa Grande is a city in Pinal county, Arizona","Casa Grande","AZ",NA
"413","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"414","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"415","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"416","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"417","Maricopa, AZ Maricopa is a city in Pinal county, Arizona","Maricopa","AZ",NA
"418","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"419","Tucson, AZ Tucson is a city in Pima county, Arizona","Tucson","AZ",NA
"420","Peoria, AZ Peoria is a city in Maricopa county, Arizona","Peoria","AZ",NA
"421","Chandler, AZ Chandler is a city in Maricopa county, Arizona","Chandler","AZ",NA
"422","San Tan Valley, AZ San Tan Valley is a city in Pinal county, Arizona","San Tan Valley","AZ",NA
"423","Surprise, AZ Surprise is a city in Maricopa county, Arizona","Surprise","AZ",NA
"424","Laveen, AZ Laveen is a city in Maricopa county, Arizona","LAVEEN","AZ",NA
"425","7720 N Silverlight Rd.","Tucson","AZ","85743"
"426","HC 61 Box D","Winslow","AZ","86047"
"427","19871 West Fremont Road","Buckeye","AZ","85326"
"428","1300 East Cedar Street","Globe","AZ","85501"
"429","4027 North 45th Avenue","Phoenix","AZ","85031"
"430","8123 North 35th Avenue","Phoenix","AZ","85051"
"431","3295 West Orange Grove Road","Tucson","AZ","85741"
"432","3295 West Orange Grove Road","Tucson","AZ","85741"
"433","3102 North 56th Street","Phoenix","AZ","85018"
"434","272 East Sagebrush Street","Litchfield Park","AZ","85340"
"435","12990 East Shea Boulevard","Scottsdale","AZ","85259"
"436","P.O. Box AQ","Winslow","AZ","86047"
"437","3475 E RIO VIRGIN RD","BEAVER DAM","AZ","86432"
"438","1600 S 107TH AVE","AVONDALE","AZ","85323"
"439","Route 13","Lukachukai","AZ","86507"
"440","25 East Drachman Street","Tucson","AZ","85705"
"441","5601 North 16th Street","Phoenix","AZ","85016"
"442","1431 East Campbell Avenue","Phoenix","AZ","85014"
"443","10 North Spring Valley Road","Parks","AZ","86018"
"444","San Manuel, AZ San Manuel is a city in Pinal county, Arizona","San Manuel","AZ",NA
"445","P.O. Box 70","Many Farms","AZ","86538"
"446","P.O. Box 307","Many Farms","AZ","86538"
"447","11279 West Grier Road","Marana","AZ","85653"
"448","108 North 40th Street","Phoenix","AZ","85034"
"449","3409 West Whitton Avenue","Phoenix","AZ","85017"
"450","44150 West Maricopa-Casa Grande Highway","Maricopa","AZ","85138"
"451","3740 N TOLTEC RD","TOLTEC","AZ","85131"
"452","5522 Side Road","Prescott","AZ","86301"
"453","3102 N 56TH ST # 300","PHOENIX","AZ","85018"
"454","365 West Cannon Avenue","Colorado City","AZ","86021"
"455","1557 West Prince Road","Tucson","AZ","85705"
"456","12606 East Main Street","Mayer","AZ","86333"
"457","2411 West 14th Street","Tempe","AZ","85282"
"458","Corner of Spruce & Cooley","McNary","AZ","85930"
"459","3979 West McNeal Street","McNeal","AZ","85617"
"460","63 East Main Street","Mesa","AZ","85201"
"461","1700 North 7th Avenue","Phoenix","AZ","85007"
"462","850 North Morley Avenue","Nogales","AZ","85621"
"463","4739 South Ragus Road","Miami","AZ","85539"
"464","3823 North 11th Street","Phoenix","AZ","85014"
"465","4707 E ROBERT E LEE ST","PHOENIX","AZ","85032"
"466","3600 North Sunset Drive","Chino Valley","AZ","86323"
"467","1801 East Fir Street","Cottonwood","AZ","86326"
"468","42798 South 99th Avenue","Maricopa","AZ","85139"
"469","P.O. Box 185","Tuba City","AZ","86045"
"470","625 Marina Boulevard","Bullhead City","AZ","86442"
"471","625 Marina Boulevard","Bullhead City","AZ","86442"
"472","8450 Olive Avenue","Mohave Valley","AZ","86440"
"473","5151 South Avenue 39 East","Roll","AZ","85347"
"474","6050 North Invergordon Road","Paradise Valley","AZ","85253"
"475","9201 North 7th Avenue","Phoenix","AZ","85021"
"476","2834 East Southern Avenue","Mesa","AZ","85204"
"477","2415 North Terrace Circle","Mesa","AZ","85203"
"478","1301 East Fort Lowell Road","Tucson","AZ","85719"
"479","Stadium Drive","Morenci","AZ","85540"
"480","2675 West Baseline Road","Phoenix","AZ","85041"
"481","25950 West Rockaway Hills Road","Morristown","AZ","85342"
"482","3003 Centerpointe East Drive","Prescott","AZ","86301"
"483","1455 Willow Creek Road","Prescott","AZ","86301"
"484","3686 West Orange Grove Road","Tucson","AZ","85741"
"485","311 West Cattle Drive Trail","Flagstaff","AZ","86001"
"486","2615 West Buckeye Road","Phoenix","AZ","85009"
"487","P.O. Box 10010","Tonalea","AZ","86044"
"488","1911 West Valenzuela","Naco","AZ","85620"
"489","32919 North Center Street","Wittmann","AZ","85361"
"490","Holbrook, AZ Holbrook is a city in Navajo county, Arizona","Holbrook","AZ",NA
"491","100 Code Talkers Drive","Holbrook","AZ","86025"
"492","HC 58 Box 50","Ganado","AZ","86505"
"493","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"494","446 East Broadway Road","Mesa","AZ","85204"
"495","1216 East Apache Boulevard","Tempe","AZ","85281"
"496","1216 East Apache Boulevard","Tempe","AZ","85281"
"497","5818 North 7th Street","Phoenix","AZ","85014"
"498","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"499","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"500","310 West Plum Street","Nogales","AZ","85621"
"501","3102 N 56TH ST # 300","PHOENIX","AZ","85018"
"502","10720 West Indian School Road","Phoenix","AZ","85037"
"503","Off Hwy 163 .6 Mi East of Kay","Kayenta","AZ","86033"
"504","951 West Snowflake Boulevard","Snowflake","AZ","85937"
"505","3300 Sparrow Avenue","Flagstaff","AZ","86004"
"506","440 North Grande Avenue","Tucson","AZ","85745"
"507","13832 North 32nd Street","Phoenix","AZ","85032"
"508","1402 San Antonio Avenue","Douglas","AZ","85607"
"509","13644 North Sandario Road","Marana","AZ","85653"
"510","725 North Carpenter Drive","Oracle","AZ","85623"
"511","1226 West Osborn Road","Phoenix","AZ","85013"
"512","14109 Chicken Springs Road","Wikieup","AZ","85360"
"513","2504 South 91st Avenue","Tolleson","AZ","85353"
"514","6711 East 2nd Street","Prescott Valley","AZ","86314"
"515","500 South Navajo Drive","Page","AZ","86040"
"516","145 Leupp Road","Flagstaff","AZ","86004"
"517","2400 South 247th Avenue","Buckeye","AZ","85326"
"518","2100 Willow Creek Road","Prescott","AZ","86301"
"519","10700 South Palo Verde Road","Palo Verde","AZ","85343"
"520","38739 W I 8","GILA BEND","AZ","85337"
"521","6849 Arizona 92","Hereford","AZ","85615"
"522","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"523","15002 North 32nd Street","Phoenix","AZ","85032"
"524","12775 North 175th Avenue","Surprise","AZ","85388"
"525","2508 East Halcyon Road","Tucson","AZ","85716"
"526","11039 West Olive Avenue","Peoria","AZ","85345"
"527","9030 Florentine Road","Prescott Valley","AZ","86314"
"528","1608 South Laguna Avenue","Parker","AZ","85344"
"529","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"530","100 School Street","Patagonia","AZ","85624"
"531","500 North 3rd Avenue","Patagonia","AZ","85624"
"532","Hwy 82","Patagonia","AZ","85624"
"533","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"534","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"535","3404 N 56th Street","Scottsdale","AZ","85255"
"536","19011 East San Tan Boulevard","Queen Creek","AZ","85142"
"537","902 West Main Street","Payson","AZ","85541"
"538","403 Diamond Creek Road","Peach Springs","AZ","86434"
"539","2016 North First Street","Flagstaff","AZ","86004"
"540","1 1/2 M. off Hwy 191 & Old Pea","Pearce","AZ","85625"
"541","3802 North 91st Avenue","Phoenix","AZ","85037"
"542","7102 North 58th Drive","Glendale","AZ","85301"
"543","6330 West Thunderbird Road","Glendale","AZ","85306"
"544","3738 North 16th Street","Phoenix","AZ","85016"
"545","1903 East Roeser Road","Phoenix","AZ","85040"
"546","1817 North 7th Street","Phoenix","AZ","85006"
"547","1613 West Street Catherine Avenue","Phoenix","AZ","85041"
"548","5312 North 12th Street","Phoenix","AZ","85014"
"549","4502 North Central Avenue","Phoenix","AZ","85012"
"550","17865 South Vail Road","Picacho","AZ","85141"
"551","8433 N BLACK CANYON HWY STE 16","PHOENIX","AZ","85021"
"552","175 West Irvington Road","Tucson","AZ","85714"
"553","2855 West Master Pieces Drive","Tucson","AZ","85741"
"554","924 North Alvernon Way","Tucson","AZ","85711"
"555","924 North Alvernon Way","Tucson","AZ","85711"
"556","924 North Alvernon Way","Tucson","AZ","85711"
"557","1690 West Irvington Road","Tucson","AZ","85746"
"558","192 East 200 South","Pima","AZ","85543"
"559","1120 West Kaibab Lane","Flagstaff","AZ","86001"
"560","P.O. Box 4198","Houck","AZ","86506"
"561","3868 Pine Creek Drive","Pine","AZ","85544"
"562","Casa Grande, AZ Casa Grande is a city in Pinal county, Arizona","Casa Grande","AZ",NA
"563","Nogales, AZ Nogales is a city in Santa Cruz county, Arizona","Nogales","AZ",NA
"564","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"565","Tempe, AZ Tempe is a city in Maricopa county, Arizona","Tempe","AZ",NA
"566","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"567","P.O. Box 159","Pinon","AZ","86510"
"568","Ind Route 41","Pinon","AZ","86510"
"569","6629 West Clarendon Avenue","Phoenix","AZ","85033"
"570","2504 South 91st Avenue","Tolleson","AZ","85353"
"571","10215 North 43rd Avenue","Phoenix","AZ","85051"
"572","1396 N. Old Pomerene Rd","Pomerene","AZ","85627"
"573","1840 East Benson Highway","Tucson","AZ","85714"
"574","99 East Virginia Avenue","Phoenix","AZ","85004"
"575","7544 West Indian School Road","Phoenix","AZ","85033"
"576","146 South Granite Street","Prescott","AZ","86303"
"577","9500 East Lorna Lane","Prescott Valley","AZ","86314"
"578","1695 East Fort Lowell Road","Tucson","AZ","85719"
"579","1515 South Higley Road","Gilbert","AZ","85296"
"580","49241 Ehrenberg-Parker Highway","Ehrenberg","AZ","85334"
"581","20217 East Chandler Heights Road","Queen Creek","AZ","85142"
"582","701 N. Highway 177","Kearny","AZ","85137"
"583","Hwy 160 - 22 miles W of 4 Corn","Teec Nos Pos","AZ","86514"
"584","PO Drawer 2007","Red Valley","AZ","86544"
"585","20854 East Homestead Drive","Red Rock","AZ","85145"
"586","14841 North Black Canyon Highway","Phoenix","AZ","85023"
"587","14841 North Black Canyon Highway","Phoenix","AZ","85023"
"588","8433 North Black Canyon Highway","Phoenix","AZ","85021"
"589","33625 North North Valley Parkway","Phoenix","AZ","85085"
"590","7444 East Broadway Boulevard","Tucson","AZ","85710"
"591","1414 South 51st Avenue","Phoenix","AZ","85043"
"592","P.O. Box 560 Highway 191","Rock Point","AZ","86545"
"593","P.O. BOX 299","KYKOTSMOVI","AZ","86039"
"594","6000 South 7th Street","Phoenix","AZ","85042"
"595","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"596","HC61 Hwy-59 P.O. Box 5050-PTT RRTP","Chinle","AZ","86503"
"597","940 East Maricopa Drive","Springerville","AZ","85938"
"598","13615 North 35th Avenue","Phoenix","AZ","85029"
"599","92 Skill Center Road","Sacaton","AZ","85147"
"600","38201 West Indian School Road","Tonopah","AZ","85354"
"601","734 West 11th Street","Safford","AZ","85546"
"602","1055 East Hearn Road","Phoenix","AZ","85022"
"603","350 West Sahuarita Road","Sahuarita","AZ","85629"
"604","38128 Saguaro Street","Salome","AZ","85348"
"605","10005 East Osborn Road","Scottsdale","AZ","85256"
"606","Scottsdale, AZ Scottsdale is a city in Maricopa county, Arizona","Scottsdale","AZ",NA
"607","San Carlos Avenue","San Carlos","AZ","85550"
"608","1 Schoolhouse Dr","Sasabe","AZ","85633"
"609","HC 01 Box 8292","Sells","AZ","85634"
"610","Interstate 10 Business Loop","San Simon","AZ","85632"
"611","3959 East Elliot Road","Gilbert","AZ","85296"
"612","I-40 Hwy 191","Sanders","AZ","86512"
"613","1260 North Hohokam Drive","Nogales","AZ","85621"
"614","7 Duquesne Road","Nogales","AZ","85621"
"615","18 Calle Baca","Tubac","AZ","85646"
"616","1374 West Frontage Road","Rio Rico","AZ","85648"
"617","900 North Main Street","Eloy","AZ","85131"
"618","HC 01 Box 8400","Sells","AZ","85634"
"619","HC O2 Box 7570","Sells","AZ","85634"
"620","3727 North 1st Avenue","Tucson","AZ","85719"
"621","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"622","8055 East 22nd Street","Tucson","AZ","85710"
"623","10460 N 56TH ST","SCOTTSDALE","AZ","85253"
"624","3102 North 56th Street","Phoenix","AZ","85018"
"625","7575 East Main Street","Scottsdale","AZ","85251"
"626","HC 63 Box H","Winslow","AZ","86047"
"627","P.O. Box 98","Second Mesa","AZ","86043"
"628","165 Kachina Drive","Sedona","AZ","86336"
"629","Sedona, AZ Sedona is a city in Yavapai county, Arizona","Sedona","AZ",NA
"630","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"631","1709 North Greenfield Road","Mesa","AZ","85205"
"632","54255 Main Street","Seligman","AZ","86337"
"633","40 West Fort Lowell Road","Tucson","AZ","85705"
"634","53802 W US Hwy 80","Dateland","AZ","85333"
"635","98 U.S. 160","Shonto","AZ","86054"
"636","P.O. Box 7900","Shonto","AZ","86054"
"637","500 West Old Linden Road","Show Low","AZ","85901"
"638","3555 East Fry Boulevard","Sierra Vista","AZ","85635"
"639","3150 Old Skull Valley Road","Skull Valley","AZ","86338"
"640","978 Preschool Road","Bapchule","AZ","85121"
"641","7500 South 40th Street","Phoenix","AZ","85042"
"642","125 South Rush Street","Prescott","AZ","86303"
"643","682 West School Bus Lane","Snowflake","AZ","85937"
"644","2250 South Stevens Avenue","Solomon","AZ","85551"
"645","343 Carlisle Avenue","Somerton","AZ","85350"
"646","23 ELGIN RD","ELGIN","AZ","85611"
"647","6724 South Kings Ranch Road","Gold Canyon","AZ","85118"
"648","7450 South 40th Street","Phoenix","AZ","85042"
"649","7450 South 40th Street","Phoenix","AZ","85042"
"650","2470 North Tucson Boulevard","Tucson","AZ","85716"
"651","850 West Valencia Road","Tucson","AZ","85706"
"652","4301 West Fillmore Street","Phoenix","AZ","85043"
"653","210 South 1st Avenue","Yuma","AZ","85364"
"654","70 East Patton Street","Saint David","AZ","85630"
"655","450 South 13th West","Saint Johns","AZ","85936"
"656","515 South Stanfield Road","Stanfield","AZ","85172"
"657","3535 East McDowell Road","Phoenix","AZ","85008"
"658","44 East 5th Street","Mesa","AZ","85201"
"659","35812 North 7th Street","Phoenix","AZ","85086"
"660","4560 South Coach Drive","Tucson","AZ","85714"
"661","16011 North Dysart Road","Surprise","AZ","85374"
"662","2238 East Ginter Road","Tucson","AZ","85706"
"663","1500 Panther Drive","Superior","AZ","85173"
"664","7229 North 13th Way","Phoenix","AZ","85020"
"665","1301 East Almeria Road","Phoenix","AZ","85006"
"666","P.O. Box 2002","Teec Nos Pos","AZ","86514"
"667","2300 North Tanque Verde Loop Road","Tucson","AZ","85749"
"668","3102 North 56th Street","Phoenix","AZ","85018"
"669","2598 Starlite Lane","Lake Havasu City","AZ","86403"
"670","1251 East Southern Avenue","Tempe","AZ","85282"
"671","1251 East Southern Avenue","Tempe","AZ","85282"
"672","3205 South Rural Road","Tempe","AZ","85282"
"673","500 West Guadalupe Road","Tempe","AZ","85283"
"674","3490 West Main Street","Thatcher","AZ","85552"
"675","5383 East Rockridge Road","Phoenix","AZ","85018"
"676","4530 East Gold Dust Avenue","Phoenix","AZ","85028"
"677","2222 South Price Road","Tempe","AZ","85282"
"678","950 North Peart Road","Casa Grande","AZ","85122"
"679","1495 South Verrado Way","Buckeye","AZ","85326"
"680","7777 South 15th Terrace","Phoenix","AZ","85042"
"681","249 Standage Drive","Payson","AZ","85541"
"682","P.O. Box 567","Ft. Apache","AZ","85926"
"683","2127 West Harwell Road","Phoenix","AZ","85041"
"684","HC01 Box 8513","SELLS","AZ","85634"
"685","9401 West Garfield Street","Tolleson","AZ","85353"
"686","9801 West Van Buren Street","Tolleson","AZ","85353"
"687","3315 North Toltec Road","Eloy","AZ","85131"
"688","805 East Fremont Street","Tombstone","AZ","85638"
"689","P.O. Box 39","Tonalea","AZ","86044"
"690","445 Arizona 188","Tonto Basin","AZ","85553"
"691","5083 Tule Drive","Topock","AZ","86436"
"692","201 East Main Street","Safford","AZ","85546"
"693","3102 N 56TH ST # 300","PHOENIX","AZ","85018"
"694","306 Main Street","Tuba City","AZ","86045"
"695","Tuba City, AZ Tuba City is a city in Coconino county, Arizona","Tuba City","AZ",NA
"696","9239 East Wrightstown Road","Tucson","AZ","85715"
"697","2700 West Broadway Boulevard","Tucson","AZ","85745"
"698","104 East Prince Road","Tucson","AZ","85705"
"699","1010 East 10th Street","Tucson","AZ","85719"
"700","1901 North Stone Avenue","Tucson","AZ","85705"
"701","2930 West Bethany Home Road","Phoenix","AZ","85017"
"702","3834 South 91st Avenue","Tolleson","AZ","85353"
"703","13801 East Benson Highway","Vail","AZ","85641"
"704","12491 N Byers","Truxton","AZ","86434"
"705","830 South Main Street","Cottonwood","AZ","86326"
"706","6210 South 28th Street","Phoenix","AZ","85042"
"707","4088 West Jefferson Road","Elfrida","AZ","85610"
"708","550 West Warner Road","Chandler","AZ","85225"
"709","3102 N 56TH ST # 300","PHOENIX","AZ","85018"
"710","90 County Road 3139","Vernon","AZ","85940"
"711","3535 North 63rd Avenue","Phoenix","AZ","85033"
"712","1650 West Southern Avenue","Phoenix","AZ","85041"
"713","2802 East Meadowbrook Avenue","Phoenix","AZ","85016"
"714","5901 South Calle Santa Cruz","Tucson","AZ","85709"
"715","1275 East Barney Lane","Benson","AZ","85602"
"716","7318 West Lynwood Street","Phoenix","AZ","85035"
"717","812 South 6th Avenue","Phoenix","AZ","85003"
"718","4650 West Sweetwater Avenue","Glendale","AZ","85304"
"719","29126 San Jose Avenue","Wellton","AZ","85356"
"720","71001 Santa Fe Avenue","Wenden","AZ","85357"
"721","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"722","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"723","5625 S 51ST AVE","LAVEEN","AZ","85339"
"724","Glendale, AZ Glendale is a city in Maricopa county, Arizona","Glendale","AZ",NA
"725","Kingman, AZ Kingman is a city in Mohave county, Arizona","Kingman","AZ",NA
"726","6515 West Indian School Road","Phoenix","AZ","85033"
"727","963 South Chief Avenue","Whiteriver","AZ","85941"
"728","101 Coconino Street","Wickenburg","AZ","85390"
"729","Box 309","Chambers","AZ","86502"
"730","480 North Bisbee Avenue","Willcox","AZ","85643"
"731","636 South 7th Street","Williams","AZ","86046"
"732","3025 East Fillmore Street","Phoenix","AZ","85008"
"733","Route 12","Fort Defiance","AZ","86504"
"734","800 North Apache Avenue","Winslow","AZ","86047"
"735","18912 Hays Ranch Road","Peeples Valley","AZ","86332"
"736","2972 Centerpointe East Drive","Prescott","AZ","86301"
"737","Hwy 288/Baker Ranch Rd","Young","AZ","85554"
"738","1501 Valencia Road","Bullhead City","AZ","86426"
"739","12261 South 3rd Street","Yucca","AZ","86438"
"740","450 South 4th Avenue","Yuma","AZ","85364"
"741","3834 West 16th Street","Yuma","AZ","85364"
"742","3150 South Avenue A","Yuma","AZ","85364"
